customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-07-17
2,김정호,F,32,대구,2025-11-30
3,이경수,F,61,성남,2024-07-10
4,조영호,F,55,울산,2026-05-11
5,이예원,F,19,부산,2024-10-11
6,김지원,F,32,성남,2026-07-25
7,이상현,F,53,인천,2025-01-09
8,이성호,M,32,수원,2025-01-21
9,송지민,M,69,서울,2025-11-16
10,유도현,F,62,울산,2024-11-03
11,강채원,M,35,대구,2026-01-18
12,김정남,F,66,대전,2024-10-28
13,고채원,F,23,울산,2025-03-18
14,윤성호,F,40,대전,2025-03-03
15,장정식,M,69,서울,2026-07-02
16,강보람,M,52,부산,2024-08-20
17,이현준,M,23,성남,2026-04-26
18,김순옥,M,58,고양,2023-10-31
19,김성수,M,54,인천,2024-09-24
20,백영호,F,20,인천,2024-12-06
21,박중수,M,23,인천,2026-04-30
22,이상호,F,42,광주,2025-12-25
23,신영자,M,58,대전,2026-01-28
24,김현준,F,41,대전,2025-10-05
25,권준호,F,60,광주,2024-03-30
26,안영자,F,56,대구,2023-11-12
27,최영수,F,28,수원,2024-08-30
28,고경숙,M,35,성남,2024-01-30
29,박수민,F,61,대전,2026-04-27
30,이민재,F,32,서울,2023-08-11
31,양수민,M,43,광주,2025-09-21
32,박미숙,F,31,고양,2026-04-03
33,윤우진,M,31,수원,2024-03-30
34,김진호,M,59,수원,2025-11-06
35,최예지,F,34,대구,2024-01-26
36,양지현,F,65,성남,2024-11-25
37,김영호,M,65,고양,2023-12-06
38,박도윤,M,55,울산,2025-11-10
39,김예은,M,32,대구,2025-12-07
40,박예준,M,23,서울,2024-06-30
41,권정순,F,27,대구,2024-12-02
42,장성호,M,56,부산,2025-10-18
43,김도윤,M,42,고양,2023-09-07
44,김서윤,M,51,광주,2023-11-24
45,김명자,F,61,부산,2023-09-23
46,김서현,M,67,대전,2026-06-10
47,박정웅,F,36,울산,2026-01-09
48,김예은,F,47,서울,2025-04-29
49,김시우,M,50,대구,2025-05-25
50,문도윤,F,58,광주,2026-05-17
51,김영순,F,27,대전,2025-01-14
52,김서연,F,52,성남,2025-11-16
53,이서준,F,56,대전,2024-08-28
54,김지원,M,19,부산,2025-12-07
55,윤영철,M,69,광주,2023-08-28
56,남지혜,F,21,인천,2024-04-20
57,박준호,F,23,수원,2023-11-05
58,김성훈,F,66,성남,2025-07-12
59,한정웅,F,26,수원,2025-12-16
60,박서연,F,34,성남,2024-07-09
61,최유진,M,31,성남,2024-12-05
62,최영일,F,63,광주,2025-11-08
63,성도현,M,60,대전,2024-05-20
64,김준호,M,51,수원,2025-04-24
65,손상호,F,33,인천,2026-02-14
66,김재호,F,39,서울,2025-12-31
67,심서영,F,55,인천,2024-12-06
68,이정남,F,22,서울,2024-11-14
69,남진우,F,22,서울,2023-08-20
70,엄현준,M,22,성남,2023-11-27
71,박미정,F,35,수원,2025-01-29
72,양영미,F,52,대구,2024-04-07
73,정성민,M,33,수원,2026-05-17
74,장윤서,M,30,부산,2026-06-01
75,양상훈,F,60,울산,2024-01-19
76,김수빈,M,45,울산,2024-06-28
77,김은주,M,64,서울,2024-09-19
78,김하은,F,21,울산,2023-10-23
79,이서준,M,69,부산,2023-08-11
80,김현우,F,30,인천,2024-04-13
81,최영자,M,26,울산,2023-08-21
82,노정수,F,35,수원,2024-03-24
83,전은경,F,22,수원,2024-03-23
84,김성호,F,21,성남,2023-10-06
85,김선영,F,23,인천,2024-01-12
86,최준호,F,44,수원,2026-03-27
87,유서현,M,31,울산,2024-04-14
88,송춘자,F,28,울산,2023-09-13
89,유종수,F,42,광주,2025-05-06
90,문지원,M,36,울산,2024-09-23
91,한성훈,M,27,인천,2023-10-05
92,김지은,M,31,서울,2025-07-21
93,류준호,F,65,대전,2024-07-17
94,김성진,F,21,고양,2023-11-21
95,이은주,M,50,성남,2025-04-17
96,홍순옥,F,21,성남,2023-09-17
97,주민준,F,29,부산,2024-09-21
98,최성현,F,61,인천,2024-12-05
99,나민석,M,25,고양,2026-01-17
100,김시우,F,55,고양,2025-10-21
101,박정희,F,57,부산,2026-06-12
102,이진호,M,60,고양,2024-12-30
103,장미정,M,34,인천,2024-11-14
104,장순옥,M,33,광주,2026-07-24
105,김승현,M,26,광주,2025-03-16
106,배은정,M,38,부산,2024-11-15
107,전성수,F,47,고양,2024-06-27
108,최재호,F,22,성남,2025-07-28
109,장영일,F,50,광주,2024-04-25
110,이정숙,F,40,부산,2026-03-24
111,류정훈,F,41,광주,2026-06-16
112,송민재,F,46,성남,2023-10-16
113,박준혁,M,57,성남,2023-11-27
114,손영환,F,60,성남,2026-07-22
115,이민재,M,60,부산,2026-07-09
116,권종수,F,34,부산,2024-01-18
117,김지원,F,65,성남,2026-07-22
118,김선영,F,35,광주,2024-02-10
119,송정남,F,63,대전,2025-12-21
120,하춘자,F,61,광주,2026-03-14
121,손영자,M,34,서울,2025-12-04
122,김준호,F,58,울산,2025-07-05
123,김재현,M,20,서울,2025-10-23
124,김시우,M,67,대구,2024-10-22
125,이지후,M,28,수원,2023-12-09
126,김정수,M,53,서울,2024-07-03
127,이영철,F,22,대구,2025-05-12
128,전성훈,F,41,고양,2026-01-29
129,김춘자,F,45,대구,2026-01-16
130,김성현,F,37,대전,2025-04-02
131,곽영자,F,40,인천,2025-12-01
132,배예지,F,60,부산,2024-10-02
133,김성진,M,67,성남,2026-06-26
134,오지현,M,57,대구,2024-02-20
135,박하윤,F,28,대구,2026-02-10
136,김은주,M,19,대구,2024-03-03
137,김선영,M,68,울산,2024-12-26
138,이정훈,F,35,대구,2025-03-16
139,하승현,F,42,서울,2023-12-11
140,권광수,M,32,인천,2025-01-30
141,김진호,M,40,광주,2023-10-07
142,하서연,F,32,서울,2023-09-06
143,김예은,F,43,대전,2024-01-30
144,김정자,M,22,광주,2025-03-01
145,조정호,M,59,성남,2024-01-30
146,김숙자,M,61,성남,2026-01-20
147,이정남,M,19,부산,2025-03-11
148,오도현,M,29,고양,2026-07-13
149,김정자,M,20,부산,2024-11-16
150,조미영,M,40,대전,2026-01-01
